Seq,Module,Section,Scene,Duration,Visual,Avatar,Narration,Production Notes
1,Module 1: Introduction to SAP Joule,1.1 Welcome & Course Overview,Title Animation & Avatar Entrance,45,"Animated 'SAP Joule' logo scales in, avatar enters from right","Avatar enters from right side with confident stride, takes center position",Welcome to SAP Joule Studio & AI Agent Development,"Energetic opening, make eye contact with camera"
2,Module 1: Introduction to SAP Joule,1.1 Welcome & Course Overview,Course Overview Visual,75,Slide: 3 learning streams displayed as connected pillars,"Avatar gestures to each stream, maintains eye contact","First: AI & ML Fundamentals, Second: Building Agents, Third: Real-world Implementation","Point to visual elements as speaking, use hand gestures"
3,Module 1: Introduction to SAP Joule,1.1 Welcome & Course Overview,Course Structure Map,60,Slide: 10 modules shown in sequence with duration badges,"Avatar turns toward screen, points at key modules","52 hours total, 10 major modules, progressive complexity","Walk through timeline visually, help learner see the full journey"
4,Module 1: Introduction to SAP Joule,1.1 Welcome & Course Overview,Learning Outcomes Highlight,90,Slide with 6-8 key learning outcomes in visual format,Avatar emphasizes key points with nods and hand gestures,"By end of course you will understand AI, build agents, deploy solutions","Speak with confidence, pause slightly after each outcome for impact"
5,Module 1: Introduction to SAP Joule,1.1 Welcome & Course Overview,Success Factors,75,Slide listing 5 success factors with check marks,"Avatar points to each factor, makes eye contact","Engage actively, do hands-on labs, revisit concepts, leverage community","Warmly encouraging, this is about helping them succeed"
6,Module 1: Introduction to SAP Joule,1.1 Welcome & Course Overview,Resources Available,60,"Slide showing resource types: ebook, docs, forums, labs",Avatar gestures broadly indicating abundance of resources,"Downloadable resources, companion ebook, community forums, practice labs","Reassuring tone, they have everything they need"
7,Module 1: Introduction to SAP Joule,1.1 Welcome & Course Overview,Bridge to Next Section,45,"Fade slide, avatar addresses camera directly","Avatar moves closer to camera, conversational posture",Ready to dive deeper? Let's go to Section 1.2,"Warm, inviting tone to draw them to next section"
8,Module 1: Introduction to SAP Joule,1.2 What is SAP Joule?,Section Title & Definition,60,Animated text: 'SAP Joule = Enterprise AI Copilot',"Avatar stands in center, gestures to title",SAP Joule is an enterprise-grade generative AI copilot for SAP ecosystem,"Clear, confident delivery of definition"
9,Module 1: Introduction to SAP Joule,1.2 What is SAP Joule?,Unpack Enterprise-Grade,75,Slide breaks down 'Enterprise-Grade' into 5 components,"Avatar nods, points to components sequentially","Built for reliability, security, performance, compliance, scale","Use metaphor: 'not a fun chatbot, this is mission-critical'"
10,Module 1: Introduction to SAP Joule,1.2 What is SAP Joule?,Generative AI Explained,90,Slide showing comparison: Rule-based vs Generative AI,"Avatar gestures to contrast, uses hand movements to show 'generating'","Generates new content, analyzes patterns, not just retrieving","Pause after key phrases, let concepts sink in"
